time,open,high,low,close,Account Equity,Daily High,Daily Low
2024-02-02T13:15:00+01:00,43151,43217,43137,43194,1000000,43263,41859
2024-02-02T13:30:00+01:00,43198,43217,43118,43154,1000000,43263,41859
2024-02-02T13:45:00+01:00,43153,43155,43087,43117,1000000,43263,41859
2024-02-02T14:00:00+01:00,43113,43133,43056,43057,1000000,43263,41859
2024-02-02T14:15:00+01:00,43056,43087,43025,43070,1000000,43263,41859
2024-02-02T14:30:00+01:00,43071,43071,42806,42818,1000000,43263,41859
2024-02-02T14:45:00+01:00,42818,42833,42538,42665,1000000,43263,41859
2024-02-02T15:00:00+01:00,42642,42757,42586,42726,1000000,43263,41859
2024-02-02T15:15:00+01:00,42722,42739,42615,42677,1000000,43263,41859
2024-02-02T15:30:00+01:00,42681,42771,42680,42753,1000000,43263,41859
2024-02-02T15:45:00+01:00,42748,42870,42733,42776,1000000,43263,41859
2024-02-02T16:00:00+01:00,42775,43059,42723,43045,1000000,43263,41859
2024-02-02T16:15:00+01:00,43041,43048,42912,43003,1000000,43263,41859
2024-02-02T16:30:00+01:00,43003,43180,42963,43171,1000000,43263,41859
2024-02-02T16:45:00+01:00,43168,43217,43099,43209,1000000,43263,41859
2024-02-02T17:00:00+01:00,43210,43451,43210,43365,1000000,43263,41859
2024-02-02T17:15:00+01:00,43364,43364,43148,43170,1000000,43263,41859
2024-02-02T17:30:00+01:00,43142,43230,43109,43114,1000000,43263,41859
2024-02-02T17:45:00+01:00,43113,43253,43085,43199,1000000,43263,41859
2024-02-02T18:00:00+01:00,43173,43255,43165,43255,1000000,43263,41859
2024-02-02T18:15:00+01:00,43256,43269,43191,43219,1000000,43263,41859
2024-02-02T18:30:00+01:00,43217,43253,42978,42987,1000000,43263,41859
2024-02-02T18:45:00+01:00,42980,43021,42896,42935,1000000,43263,41859
2024-02-02T19:00:00+01:00,42936,42950,42774,42903,1000000,43263,41859
2024-02-02T19:15:00+01:00,42915,42956,42878,42888,1000000,43263,41859
2024-02-02T19:30:00+01:00,42892,42923,42600,42860,1000000,43263,41859
2024-02-02T19:45:00+01:00,42860,42902,42797,42901,1000000,43263,41859
2024-02-02T20:00:00+01:00,42900,43010,42900,42967,1000000,43263,41859
2024-02-02T20:15:00+01:00,42966,42984,42893,42983,1000000,43263,41859
2024-02-02T20:30:00+01:00,42978,43007,42931,42978,1000000,43263,41859
2024-02-02T20:45:00+01:00,42965,43051,42965,43033,1000000,43263,41859
2024-02-02T21:00:00+01:00,43037,43061,42951,43004,1000000,43263,41859
2024-02-02T21:15:00+01:00,43003,43056,42991,43054,1000000,43263,41859
2024-02-02T21:30:00+01:00,43037,43056,42983,42983,1000000,43263,41859
2024-02-02T21:45:00+01:00,42983,43014,42882,42920,1000000,43263,41859
2024-02-02T22:00:00+01:00,42939,43005,42939,42996,1000000,43263,41859
2024-02-02T22:15:00+01:00,43001,43043,43001,43041,1000000,43263,41859
2024-02-02T22:30:00+01:00,43039,43048,42987,42990,1000000,43263,41859
2024-02-02T22:45:00+01:00,42989,43031,42974,42974,1000000,43263,41859
2024-02-02T23:00:00+01:00,42973,43036,42973,43014,1000000,43263,41859
2024-02-02T23:15:00+01:00,43011,43144,43011,43129,1000000,43263,41859
2024-02-02T23:30:00+01:00,43131,43142,43074,43096,1000000,43263,41859
2024-02-02T23:45:00+01:00,43100,43191,43084,43180,1000000,43263,41859
2024-02-03T00:00:00+01:00,43168,43208,43121,43134,1000000,43263,41859
2024-02-03T00:15:00+01:00,43134,43148,43112,43144,1000000,43263,41859
2024-02-03T00:30:00+01:00,43139,43164,43124,43143,1000000,43263,41859
2024-02-03T00:45:00+01:00,43142,43185,43141,43183,1000000,43451,42538
2024-02-03T01:00:00+01:00,43183,43212,43133,43195,1000000,43451,42538
2024-02-03T01:15:00+01:00,43195,43352,43195,43335,1000000,43451,42538
2024-02-03T01:30:00+01:00,43344,43349,43270,43284,1000000,43451,42538
2024-02-03T01:45:00+01:00,43282,43282,43212,43213,1000000,43451,42538
2024-02-03T02:00:00+01:00,43212,43254,43207,43243,1000000,43451,42538
2024-02-03T02:15:00+01:00,43244,43287,43242,43257,1000000,43451,42538
2024-02-03T02:30:00+01:00,43254,43256,43192,43238,1000000,43451,42538
2024-02-03T02:45:00+01:00,43241,43241,43170,43190,1000000,43451,42538
2024-02-03T03:00:00+01:00,43189,43208,43144,43145,1000000,43451,42538
2024-02-03T03:15:00+01:00,43145,43201,43135,43179,1000000,43451,42538
2024-02-03T03:30:00+01:00,43179,43182,43151,43172,1000000,43451,42538
2024-02-03T03:45:00+01:00,43175,43182,43140,43168,1000000,43451,42538
2024-02-03T04:00:00+01:00,43166,43195,43148,43189,1000000,43451,42538
2024-02-03T04:15:00+01:00,43188,43212,43144,43151,1000000,43451,42538
2024-02-03T04:30:00+01:00,43151,43175,43129,43141,1000000,43451,42538
2024-02-03T04:45:00+01:00,43140,43176,43138,43160,1000000,43451,42538
2024-02-03T05:00:00+01:00,43153,43175,43133,43163,1000000,43451,42538
2024-02-03T05:15:00+01:00,43163,43185,43158,43161,1000000,43451,42538
2024-02-03T05:30:00+01:00,43158,43196,43144,43188,1000000,43451,42538
2024-02-03T05:45:00+01:00,43187,43190,43169,43173,1000000,43451,42538
2024-02-03T06:00:00+01:00,43172,43193,43135,43153,1000000,43451,42538
2024-02-03T06:15:00+01:00,43154,43161,43124,43125,1000000,43451,42538
2024-02-03T06:30:00+01:00,43124,43146,43085,43091,1000000,43451,42538
2024-02-03T06:45:00+01:00,43097,43149,43090,43149,1000000,43451,42538
2024-02-03T07:00:00+01:00,43149,43149,43109,43110,1000000,43451,42538
2024-02-03T07:15:00+01:00,43108,43130,43094,43096,1000000,43451,42538
2024-02-03T07:30:00+01:00,43097,43105,43068,43096,1000000,43451,42538
2024-02-03T07:45:00+01:00,43094,43108,43074,43075,1000000,43451,42538
2024-02-03T08:00:00+01:00,43074,43079,43057,43066,1000000,43451,42538
2024-02-03T08:15:00+01:00,43057,43100,43057,43098,1000000,43451,42538
2024-02-03T08:30:00+01:00,43092,43113,43083,43083,1000000,43451,42538
2024-02-03T08:45:00+01:00,43082,43082,43031,43031,1000000,43451,42538
2024-02-03T09:00:00+01:00,43037,43066,43034,43066,1000000,43451,42538
2024-02-03T09:15:00+01:00,43076,43076,43021,43035,1000000,43451,42538
2024-02-03T09:30:00+01:00,43035,43044,43026,43035,1000000,43451,42538
2024-02-03T09:45:00+01:00,43034,43047,42993,43001,1000000,43451,42538
2024-02-03T10:00:00+01:00,43001,43037,43001,43030,1000000,43451,42538
2024-02-03T10:15:00+01:00,43029,43072,43029,43062,1000000,43451,42538
2024-02-03T10:30:00+01:00,43065,43103,43062,43103,1000000,43451,42538
2024-02-03T10:45:00+01:00,43103,43103,43076,43077,1000000,43451,42538
2024-02-03T11:00:00+01:00,43077,43077,43053,43058,1000000,43451,42538
2024-02-03T11:15:00+01:00,43055,43103,43054,43091,1000000,43451,42538
2024-02-03T11:30:00+01:00,43091,43091,43046,43059,1000000,43451,42538
2024-02-03T11:45:00+01:00,43058,43060,43030,43044,1000000,43451,42538
