day_of_week,day_of_month,next_2_days
5,8,-1.3433431835721739
1,11,1.1623206385206741
2,12,3.0436533831836012
3,13,3.328051347881124
4,14,1.2048246358580066
5,15,-0.19171486659054338
1,18,-0.07680667073919278
2,19,-0.4994278320627568
3,20,-1.806307503591489
4,21,-5.366793089270766
5,22,-4.696668850972838
1,25,2.3663807355766586
2,26,4.845997070594535
3,27,-0.8369907953134414
4,28,-1.4101081107290188
1,1,-0.08038002849523758
2,2,0.5164845465735206
3,3,0.7642744249566511
4,4,-1.857704851887966
5,5,-1.6766470622185516
1,8,-0.20136623928383857
2,9,1.7458397069730052
3,10,1.4931352769661796
4,11,-0.23942325307677947
5,12,-0.357853494842916
1,15,1.279998779296875
2,16,1.4764598847507777
3,17,0.3554508438887856
4,18,1.061739891952414
5,19,1.7316038437616488
1,22,0.19454955477140687
2,23,-0.8510685394837764
3,24,-0.6601944710444477
4,25,-0.3901618314298172
5,26,1.4073518820378685
1,29,1.8017981672569139
2,30,0.6553588002850875
3,1,1.4621049305953326
4,2,0.8042860190106624
5,3,-1.1376607313672766
1,6,-0.5319125808195513
2,7,-0.19178840677345085
3,8,0.6111529623644711
4,9,-1.460419144619393
5,10,-1.4806354874303989
1,13,0.7800341953993917
2,14,0.07706570260914995
3,15,0.967492254348777
4,16,-2.2333459339284722
5,17,-1.4948232555290082
1,20,-2.481288601461935
2,21,-1.517514729258178
3,22,1.4539604483994795
4,23,-4.385613300768991
5,24,-2.1098752744376186
1,27,1.7355374506315924
2,28,0.9760055698613166
3,29,2.6401283362040404
5,31,3.2621807025019294
1,3,1.266322473397129
2,4,0.0
3,5,-0.23446450013528086
4,6,-1.4430535908442503
5,7,-0.39169752753683157
1,10,0.7123082782552146
2,11,1.6122683542739158
3,12,1.8860492253316874
4,13,2.2058811588943934
5,14,1.8897021417325521
1,17,-0.3407805873073856
2,18,0.18924767947071292
3,19,1.1398219904545606
4,20,0.5666850387987292
5,21,1.0518361024399516
1,24,1.6528873510045141
2,25,0.7806728431201473
3,26,1.2934234603745494
4,27,2.434525387506255
5,28,2.3713959217392793
1,1,1.4764128219432044
2,2,0.9265867207068528
3,3,0.6742389354151996
5,5,-0.14123943718128354
1,8,-0.5992247841559775
2,9,-0.07072297481632159
3,10,1.312052914448923
4,11,0.672330263689934
5,12,0.28001373664889323
1,15,0.9490282712637186
2,16,0.034904813315836766
3,17,0.13927895711593472
4,18,-0.8025106191935176
5,19,0.24339253917641668
1,22,0.7386531207121555
2,23,-0.20811469337898622
3,24,0.06983400205972345
4,25,-2.0507478039635463
5,26,-0.5582688355337055
1,29,2.484027139851565
2,30,2.0350874516001918
3,31,2.354571762244231
4,1,1.5818466060114933
5,2,-0.43978066006523575
1,5,-1.3879544416169254
2,6,0.1359123607337388
3,7,-2.5746653676877846
4,8,-0.6786523931142059
5,9,4.052154897413473
1,12,1.1957648650357
2,13,0.47409206364072354
3,14,2.025653130051101
4,15,2.7974382257222064
5,16,1.5221740644382162
1,19,0.16393192478867827
2,20,0.3585417511648628
3,21,1.7675971489788536
4,22,0.90938217268994
5,23,-0.1286616768447141
1,26,-0.2574828596454136
2,27,0.7729522845860058
3,28,2.3233279079450395
4,29,1.6938279443573572
5,30,0.031536515832738456
2,3,-2.514139675465406
3,4,0.3467862948699717
4,5,2.0954210475119184
5,6,-2.29343243476619
1,9,-0.44205680237188166
2,10,0.22507940181867836
3,11,-0.47574222204961514
4,12,2.2136686954402376
5,13,0.7010874014878414
1,16,-0.5649726984540538
2,17,0.4113897442951716
3,18,-0.9154069215080287
4,19,-1.1030582619575373
5,20,-1.8795800065623973
1,23,-1.688970023809036
2,24,1.0714283502610529
3,25,-1.8800645592679985
4,26,-3.115963185045602
5,27,-0.9580472783011277
1,30,0.1326290309340835
2,1,-3.43561972989958
3,2,-5.132453990899547
4,3,5.146803909675877
5,4,5.898780302128022
1,7,-0.5584759307206376
2,8,1.5491078147354689
3,9,1.618763672639749
4,10,-0.8438826140495141
5,11,-1.495451847849387
1,14,-4.288050732103481
2,15,-2.0131970903049656
3,16,-1.3679877621797158
4,17,-6.60155256505623
5,18,-1.976420567990431
1,21,-4.075006056330685
2,22,-8.914044630203092
3,23,-1.8045095314010173
4,24,-11.689321277211013
5,25,-21.78407485160178
1,28,1.0993843558324148
2,29,18.208513253972196
3,30,-0.4784715591417877
4,31,-14.65838121778881
1,4,-6.599643255767542
3,6,2.7656461811938575
4,7,-7.065981139830427
5,8,-11.567519960520226
1,11,-11.07754630074258
2,12,2.72290571994826
3,13,14.949034045633368
4,14,4.417881453126064
5,15,1.9704509404544526
1,18,5.873570414203206
2,19,4.396134366532686
3,20,1.2223799872412997
4,21,-1.5270704043755512
5,22,-4.040876969284247
1,25,-1.6917321369142848
2,26,1.4036830477695745
3,27,3.4894815467211524
1,2,5.25058918406815
2,3,1.0161719380116088
3,4,1.8140659397693017
4,5,2.4234053907583335
5,6,0.5345163822126026
1,9,-0.08928775939409664
2,10,-6.202922629419986
3,11,-3.038420122102703
4,12,0.7557857668185669
5,13,-0.6451672445844925
1,16,0.42194164514677235
2,17,-3.293131271149697
3,18,-5.882353988767301
4,19,-2.829736891094969
5,20,1.140870753854954
1,23,2.862783401548191
2,24,2.108878460261667
4,26,0.2399195618736021
5,27,3.0259417740138126
1,30,1.3882284538076486
2,31,-1.0256466800842043
4,2,1.5108578385903992
5,3,0.37682489604814967
1,6,-0.9767399277797965
2,7,1.4547225765371767
3,8,1.2212226883634358
4,9,-0.46253643657708743
5,10,0.04640477603654887
1,13,0.6040853066975765
2,14,-0.27829066525331775
3,15,-1.5704395315410717
4,16,0.0
5,17,1.4077951756340548
1,20,0.6046472593795421
2,21,1.0643199247581436
3,22,1.8955236739186774
4,23,1.6941342916653932
5,24,0.27222987046299413
1,27,0.6303525563625408
2,28,1.674203282797226
3,29,1.9686824454035332
4,30,1.201604210122088
5,31,0.965332621836806
1,3,2.5065949892759867
2,4,0.2172935096184333
3,5,-1.458602146622336
4,6,0.26019676791247304
5,7,1.5237283061921574
1,10,1.0380612560830766
2,11,0.12864788609824188
4,13,-0.4280838135997873
5,14,-0.29978455537743653
1,17,-0.8168552544625275
2,18,-2.7491463836777497
3,19,-0.6501934135869366
4,20,0.17668249384155527
5,21,-0.13089304775586535
1,24,1.8959448826711491
2,25,0.8300591486408745
3,26,0.7356125997582099
4,27,1.2131745562005483
5,28,1.1168394382006361
1,3,0.0
2,4,0.2124011687168908
3,5,0.9845870557657775
4,6,0.339126423012246
5,7,0.5510774053655115
1,10,-0.8872031734026479
2,11,-0.5058977038722153
3,12,-0.042618593023819255
4,13,0.29660887157943094
5,14,1.9189716031992703
1,17,1.5209151212133347
2,18,1.0041831587816687
3,19,1.0819817788283674
4,20,0.5799556774516936
5,21,-0.1646805846836063
1,24,1.4003300781408035
2,25,1.3195863704091495
3,26,0.9341979463697277
4,27,-1.7094020411502902
5,28,2.0925571419766595
1,31,3.9751594492145714
2,1,-0.8277531922526914
3,2,1.7124663270558196
4,3,1.7488097644121188
5,4,-0.31324130065339756
1,7,1.0546892724232484
2,8,1.806759655784241
3,9,-0.11596708802579545
4,10,-0.7330267496078787
5,11,-0.38699837801553366
1,14,-0.6607076537832294
2,15,0.038850928402325784
3,16,-1.056332378937647
4,17,-0.9708737864077669
1,21,1.0280676635862498
2,22,-0.5882337981579351
3,23,-0.9001939299579755
4,24,-2.327416740471402
5,25,-2.330174406394228
1,28,0.5654256395568695
2,29,-1.7387800773768087
3,30,-5.341365237276088
4,1,-5.4320976801145475
5,2,0.8061117374530122
1,5,1.436031028197054
2,6,-1.5151540693756314
3,7,1.6302062497703778
4,8,2.948720279085865
5,9,3.0814669724758086
1,12,1.9925261070816709
2,13,-1.0237510205525795
3,14,-1.1802971582445747
4,15,-1.737691663087264
5,16,-1.7298190461953071
1,19,-0.04210622687088816
2,20,-0.2933767520267777
3,21,1.2215708438218091
4,22,1.8495107598831761
5,23,0.8739037805744285
1,26,0.6190657093030597
2,27,1.0313531450518978
3,28,0.0820363349144717
4,29,-1.2658206159233005
1,2,-0.450814363617418
2,3,-1.116627189230753
3,4,-3.1700305835371556
4,5,-6.398999148513616
5,6,-2.1683682778734426
1,9,-0.8042824154466268
2,10,-3.82442876732643
3,11,0.2702678553171294
4,12,-7.094440824053934
5,13,-7.5471711046795935
1,16,-3.4046637829459465
2,17,1.0204129863935976
3,18,1.963743089943106
4,19,-3.367006888473229
5,20,-4.246916594328703
1,23,-2.737676619627595
2,24,3.1459547681946707
3,25,1.3817734788358496
4,26,2.2999954223632812
5,27,2.170622497567673
1,30,0.0
2,1,0.04940824602234406
3,2,-3.0791749215898823
4,3,-1.3827194402247298
1,7,2.168433216490996
2,8,4.0060148819043615
3,9,1.431386993595884
4,10,2.8406362040659126
5,11,3.746961004139736
1,14,0.561792736216549
2,15,1.2195132861327163
3,16,1.3500974008733668
4,17,-2.9657061719698414
5,18,-2.0670682291096263
1,21,3.4383920486699977
2,22,0.2814233902496193
3,23,-0.7386881280667499
4,24,2.0580007078065785
5,25,0.6976726443268532
1,28,-3.3913830498068003
2,29,-2.0323350660986614
3,30,0.14231824835905132
4,31,1.461581266724148
5,1,1.9422067056268137
1,4,-1.5799263260016814
2,5,-2.137551031767458
3,6,-4.296505355525097
4,7,-3.13390248883644
5,8,-1.9240320088285678
1,11,-1.2254902189944814
2,12,1.4084542176344366
3,13,2.7295342671043503
4,14,1.8849259473779918
5,15,0.1932319164467073
1,18,1.509247576070149
2,19,-0.4821619217613675
3,20,-0.28776721748027817
4,21,0.1938028910379008
5,22,0.9138942681194442
1,25,2.224366913367636
2,26,0.7149648322360472
3,27,1.087991751303385
4,28,1.18315196369809
5,29,-0.9358949699817968
2,2,-1.683810650767217
3,3,0.8030235034543552
4,4,2.9019918635521655
5,5,1.9681353012690215
1,8,1.0633446995326157
2,9,-0.1838277348648688
3,10,-1.64684629597443
4,11,-2.4401417866114135
5,12,-1.3023287750953851
1,15,0.4719225056601627
2,16,-0.7540049603649885
3,17,-2.86519767083088
4,18,-4.226018101698998
5,19,-1.1605404621686444
1,22,-0.29746884340819085
2,23,-3.473585974903809
3,24,-3.3814037023238734
4,25,-4.308162195595175
5,26,-4.323212245982985
1,29,2.8601744678542538
2,30,3.1737501223514375
3,1,0.0
4,2,-2.9718440341755503
5,3,-4.1194605248076615
1,6,-1.1284308701445118
2,7,-5.102044683788347
3,8,-1.5760815988640493
4,9,1.358232994238339
5,10,0.49696382967788033
2,14,-0.16750802289840744
3,15,-5.714290505114104
4,16,-1.733777855105289
5,17,-0.6410292035530037
1,20,-3.8133186564101895
2,21,0.5278601561005514
3,22,4.970415216263432
4,23,3.7339633593195685
5,24,0.6764421690059284
1,27,-1.2935964044012336
2,28,-2.9115366181022546
3,29,-3.4757762365868827
4,30,-1.2110783735486166
5,31,-1.8890182097743395
1,3,-2.8020990411703393
3,5,-3.188932971618034
4,6,-6.666664757408733
5,7,-1.8645132870717327
1,10,3.861000188341473
2,11,4.876500987647834
3,12,4.646840324424179
4,13,-0.4830913423070096
5,14,-1.3617498552267002
1,17,3.2160236733452416
2,18,1.6806764058224277
3,19,1.1169931305174767
4,20,0.6493429724620076
5,21,-2.0348858485161605
1,24,-2.580637222273806
2,25,-2.7893246887993812
3,26,1.1438809134695325
5,28,3.5409032565476033
1,1,-0.7738045635134635
2,2,-3.1839565880230194
3,3,-1.4397106779829152
4,4,-2.740559117991815
5,5,-2.738896862939764
1,8,-1.5028222966782216
2,9,-2.690859598368226
3,10,-1.9071789306479285
4,11,-3.922833458966891
5,12,-6.416077156268093
1,15,1.137885415453163
2,16,5.401666961993105
3,17,1.8530820185808077
4,18,-2.2339037228825505
5,19,-2.7940240128866867
1,22,1.8817186210869312
2,23,-0.7352918208339206
3,24,-2.9023719314773673
5,26,1.4141416346966358
1,29,4.2119556678800745
2,30,5.2456835314824914
3,31,3.8461548026018524
5,2,1.766553770082064
1,5,-5.273070536696525
2,6,0.6199651994586582
3,7,6.494364031323492
4,8,-2.4029537932734875
5,9,-2.6135661746727834
1,12,-0.06313275748423608
2,13,-1.2140548563230193
3,14,-1.1370834241522871
