day_of_week,day_of_month,next_2_days
3,15,-1.894114655196634
4,16,-2.1558581786250515
5,17,0.6187420553010751
1,20,2.8139114652061052
2,21,1.6467255634884936
3,22,2.014876454935279
4,23,1.281480093130923
1,27,0.03903241596285174
2,28,-0.1592051778918423
3,29,-0.5608083872077824
4,30,0.37311332085875737
5,31,0.574041733048107
1,3,-2.0010169641634654
2,4,-2.0337836667797338
3,5,-0.5010082282896434
4,6,-0.5485411504641013
5,7,0.7705753591068049
1,10,1.2003549699239522
2,11,-1.146599585365952
3,12,-1.3435314500186735
4,13,-1.7583043176928874
5,14,-2.7899316792671294
2,18,-2.06199732214513
3,19,-2.9743430313951427
4,20,-1.6195509872905252
5,21,-0.9433904656843397
1,24,-1.3650325190163892
2,25,-0.6872666585220147
3,26,1.8832468238478597
4,27,4.369342710479046
5,28,2.587856964451548
1,31,1.6350185762176401
2,1,-1.5198391977759529
3,2,-1.935993531261138
4,3,0.14361277572447895
5,4,0.4668395702111893
1,7,2.304037715047622
2,8,-0.3861507536516289
3,9,-3.67415345820367
4,10,-2.273719704660141
5,11,1.186557082671455
1,14,1.6661822683596204
2,15,-2.03105883298563
3,16,-2.81875694230765
4,17,-1.7236420678175748
5,18,-2.8368314956089304
2,22,-0.37306542494522554
3,23,3.7664158642468344
4,24,1.9875426635537745
5,25,-1.78783114877308
1,28,0.2880720317389403
2,1,1.3290064200688951
3,2,-1.314701823337861
4,3,-3.721800253971721
5,4,-3.6538384750098305
1,7,1.827859958213968
2,8,2.129614214864345
3,9,-1.7197730238835358
4,10,-2.0286359931114784
5,11,1.3828698623192555
1,14,4.42715399432916
2,15,3.500796953043577
3,16,2.4154116288400864
4,17,1.122256532855198
5,18,1.0864539788435388
1,21,-0.11073171698080785
2,22,0.1895175608675404
3,23,1.9482752197475888
4,24,1.224732340616388
5,25,1.9489075187332328
1,28,0.5885708218146738
2,29,-2.184772848965428
3,30,-1.2295696776661718
4,31,1.1528753174079678
5,1,-0.4562337317362843
1,4,-2.214667339069499
2,5,-0.5504860778255412
3,6,0.15910833084987624
4,7,-1.9483574442598708
5,8,-2.0237060564749965
1,11,0.7718941344787753
2,12,-0.11052658578557487
3,13,-1.2346518179749755
4,14,1.584944637764417
1,18,1.5429198055943059
2,19,-1.536229923907432
3,20,-4.2083755157422225
4,21,-2.2200178346463346
5,22,-2.2608747337432655
1,25,-2.610731385309283
2,26,2.689686708042864
3,27,-1.2435536105032823
4,28,-3.0815187682215743
5,29,1.053982106056905
1,2,3.4843995770731135
2,3,-0.6851874135446863
3,4,-4.112164899006989
4,5,-3.752953976255153
5,6,-2.9657947090448333
1,9,-1.404577492982526
2,10,-1.7737836277232153
3,11,2.254279663916555
4,12,1.9829095105310057
5,13,1.614363384990753
1,16,-2.1040386106703197
2,17,-4.599338545121696
3,18,-0.5688492590530267
4,19,1.8703893366953661
5,20,1.0283560589690683
1,23,0.12532193692985216
2,24,2.9521932877618373
3,25,4.511747587482707
4,26,1.8312652259235098
5,27,-1.371018764980491
2,31,1.0810334312814565
3,1,0.17824064069956147
4,2,-1.3261201289155515
5,3,1.2690672653307649
1,6,-0.13733476023106644
2,7,-3.4335757949732386
3,8,-5.22162101112373
4,9,-6.675017322425466
5,10,-4.239581076964759
1,13,1.0763757672957825
2,14,-1.8393877439246205
3,15,-3.0382640228722364
4,16,2.673197910126379
5,17,2.3143811064801727
2,21,0.8218238224502581
3,22,4.038684695421431
4,23,2.7499355193921007
5,24,-2.3056220922507222
1,27,-2.0840444771597557
2,28,-0.9464789301062941
3,29,0.17020919671794935
4,30,1.2154661141021337
5,1,0.5162953156105299
2,5,1.859122318701021
3,6,1.4121891764079604
4,7,-1.2348162029565974
5,8,-2.0664781684788123
1,11,-1.365958216325384
2,12,-0.7442171795390622
3,13,1.614503793999149
4,14,1.0677086755146215
5,15,1.9033648870291238
1,18,3.368698889221843
2,19,1.5815319644753305
3,20,0.04368747977003345
4,21,-0.8029573681421129
5,22,-1.0243216853858632
1,25,1.43111439517184
2,26,3.8606975408983253
3,27,2.6513486344972943
4,28,1.1344566253411958
5,29,-0.9466671174774207
1,1,0.8871891891763726
2,2,1.48489805826807
3,3,-0.24018224660825863
4,4,-0.28612848403766455
5,5,-0.548098564448228
1,8,1.6951487366849463
2,9,2.0570143692527343
3,10,1.6604674336149354
4,11,2.13606725430741
5,12,0.585266720565857
1,15,-0.5375691022701667
2,16,-0.49846604022887475
3,17,-1.0659717311338872
4,18,-3.4024005197706626
5,19,-2.359003719084468
1,22,0.0671771801962664
2,23,1.7048859346999086
3,24,-2.0071172035602056
4,25,-4.012983793340262
5,26,-1.7620993762099375
1,29,-1.8758973308444855
2,30,-0.4844214702592485
3,31,-0.7772437480246523
4,1,-1.4787590860733157
5,2,1.4170851901629293
2,6,2.5072985628512243
3,7,2.1983127001190317
4,8,2.6017359776122255
5,9,-3.310996874112202
1,12,-3.999604424740916
2,13,-0.7969060418425336
3,14,-1.841858775339038
4,15,-0.03742819899711701
5,16,-0.44922963272983063
1,19,-2.8195657817612916
2,20,-2.539982394456489
3,21,-2.551497070290545
4,22,-2.7394950875176307
5,23,-1.243896038134599
1,26,1.751006810213102
2,27,-0.1869900196126994
3,28,-3.5874828039934914
4,29,1.0427214409948384
5,30,5.72592209277782
1,3,2.850403558169329
2,4,-1.2242355555564144
3,5,-3.7961799305189654
4,6,-3.5286265332790356
5,7,-1.3962794724218404
1,10,-0.9788495797172667
2,11,2.258942227386887
3,12,0.16885625820947525
4,13,0.21908001163654672
5,14,3.821022461111503
1,17,0.4679226516395779
2,18,-1.456995775688162
3,19,1.5585276215488548
4,20,3.588869423214798
5,21,2.8341911244254216
1,24,0.8758765081823503
2,25,-1.3425390090349698
3,26,1.8393974610038486
4,27,1.6988398815725934
5,28,-1.1525062486145656
1,31,-2.900067656055028
2,1,-3.5323306353202293
3,2,0.2888564639937557
4,3,2.336363676338969
5,4,1.5265692763218854
1,7,-1.5296306536161615
2,8,3.350478595611883
3,9,6.518748718179842
4,10,0.022239648628361648
5,11,-0.030051896537587403
1,14,0.038916900941310256
2,15,-1.1315876097835575
3,16,0.16545582775276832
4,17,0.08564123597055634
5,18,0.9643558783558683
1,21,1.9574998482596588
2,22,0.5629970831770198
3,23,-1.572286572156538
5,25,-1.701147317553078
1,28,2.930674221426584
2,29,3.005338777721929
3,30,-0.20612571789917156
4,1,-1.9067495263250218
5,2,-3.203574501326113
1,5,-1.623474922446078
2,6,0.564540272523739
3,7,0.011692178453921646
4,8,0.6824771165324887
5,9,2.1673051934754843
1,12,0.1192817473170019
2,13,-3.0823555621475216
3,14,-3.578185439250793
4,15,-2.004494330761086
5,16,-0.7979521482208268
1,19,1.5920755304600236
2,20,0.020142645449320897
3,21,-0.8668401098067555
4,22,0.17947168171397596
5,23,-1.6021581390292579
2,27,0.5230796969870078
3,28,1.4876224415366246
4,29,-0.6531126997102936
5,30,0.35082616755111345
2,3,-0.4194353599094261
3,4,1.0929259179819242
4,5,2.205561515729795
5,6,0.6205243894917517
1,9,1.9917324054866137
2,10,1.630922290616827
3,11,0.7426417121830696
4,12,0.1958251588838389
5,13,-1.7561489970283155
2,17,-2.3082076217838696
3,18,1.1135545375452125
4,19,3.102452207901343
5,20,1.1161388243754797
1,23,-0.08930988873342241
2,24,1.0824128006888778
3,25,1.3530157283967594
4,26,-1.050625496008453
5,27,0.1483834896318086
1,30,2.524782178002436
2,31,2.530531950584492
3,1,0.41925562656484444
4,2,-1.643149160505169
5,3,0.6653004404999296
1,6,0.16491493786085906
2,7,-1.9812680115273775
3,8,-0.6653918116076158
4,9,1.366900381293642
5,10,1.1164984454347973
1,13,0.24919835197452664
2,14,-1.105380440133475
3,15,-1.651798827093746
4,16,-2.2753177852230224
5,17,-2.1583254393880567
2,21,0.37474871137759147
3,22,-0.5264281206344199
4,23,-0.7496928862232979
5,24,0.002767309149757178
1,27,-0.774692076115541
2,28,0.2821101365942894
3,1,2.3852366524758613
4,2,1.6846000118962863
5,3,-1.465028449500846
1,6,-1.3933809535066488
2,7,-1.7070680049181255
3,8,-3.2670239191774244
4,9,-1.5966040931399534
5,10,1.4942018665526802
1,13,0.9380750301728092
2,14,1.0458524331151533
3,15,0.634902512930998
4,16,-0.21993295608054272
5,17,2.2016378062424837
1,20,-0.36947586411675887
2,21,-1.3527830006740769
3,22,0.8641168153277577
4,23,0.7296050063691897
5,24,0.00705187617102183
1,27,1.2641018151096954
2,28,2.0033908095511697
3,29,2.023432058969894
4,30,1.8188787502561445
5,31,-0.21195677165525548
1,3,-0.8274894412167355
2,4,0.10778719625759807
3,5,0.4579032022784024
4,6,0.09549093198935517
1,10,-0.41760655422515974
2,11,0.907296625628973
3,12,1.116587106198354
4,13,0.12299417567699497
5,14,0.4164204691424372
1,17,0.07708862357051122
2,18,-0.6036308577072228
3,19,-0.5054735541356089
4,20,0.17555371898872166
5,21,-1.4972743914705529
1,24,-1.9591313611383818
2,25,1.5649805281352076
3,26,2.7980835876721923
4,27,0.7863909648104773
5,28,-1.196789589529101
1,1,-1.850348379846852
2,2,-1.416651850798279
3,3,1.1122654769907718
4,4,1.8935233018432431
5,5,-0.4129363100634633
1,8,-0.011598997978730057
2,9,0.2779733667138451
3,10,-0.3277244551408344
4,11,0.1370173922603082
5,12,-0.34383851701776297
1,15,0.5437309742853969
2,16,2.1448187167157235
3,17,0.7985524754081789
4,18,-0.12910570686770248
5,19,-1.1068731854621485
1,22,-1.84584975541856
2,23,0.13748876933594092
3,24,2.1920946481803774
4,25,1.30659067039873
5,26,-0.6092122364463339
2,30,0.36856321995888724
3,31,2.45321070823285
4,1,1.2501722163618212
5,2,0.03455984485810852
1,5,-0.14670864675011955
2,6,0.23530417487098676
3,7,0.7343807083872195
4,8,1.0479909583488412
5,9,1.6318257532174059
1,12,0.7757596136630472
2,13,1.3007542022939445
3,14,0.8461804404747972
4,15,-0.8389341712157385
5,16,-0.9955552307426553
2,20,-0.15539473511467078
3,21,-0.3976430647674018
4,22,-1.211128322348587
5,23,0.6917616092743937
1,26,1.1097722015069107
2,27,0.4117884006484231
3,28,1.679743510822241
4,29,1.3454045348525847
5,30,-0.07999448783010756
1,3,-0.9875235724787421
3,5,-1.0764913083623775
4,6,-0.04669651229405499
5,7,0.9163452306292006
1,10,1.42034126415433
2,11,1.5944161228315707
3,12,0.7437069439143031
4,13,0.28270258998965203
5,14,1.100009753877166
1,17,0.9491967438344477
2,18,-0.4414918038603653
3,19,-0.6434991570055167
4,20,0.4359555846223717
5,21,0.6860182054123687
1,24,0.26587969450368426
2,25,-0.6579106318281133
3,26,0.3389714888870641
4,27,1.1361063450808684
5,28,-0.12002889473996599
1,31,-1.6467745385015626
2,1,-1.6352252387486246
3,2,-0.7834543545178015
4,3,0.36761902633995636
5,4,0.47677435570038396
1,7,-1.1227322068368928
2,8,-0.6789781143885931
3,9,-0.081924661224695
4,10,0.4674632141644315
5,11,-0.5866856901719399
1,14,-1.901903295364291
2,15,-1.5210034133455506
3,16,-0.7860472892222099
4,17,0.6729458710505126
5,18,0.40826150727341526
1,21,0.8236736450513603
2,22,-0.2561736411913059
3,23,-0.6830418842243235
4,24,1.3024671295414554
5,25,2.0863815977445817
1,28,1.8397102281544668
2,29,0.22301242429552198
3,30,0.01993196527014572
4,31,-0.24025941951244453
5,1,-1.1136536813210043
2,5,-1.0160477628120852
3,6,-0.17892244794951026
4,7,0.8159667658885237
5,8,0.09892714816835252
1,11,-0.4461325494939349
2,12,0.9682018032230568
3,13,-0.3832198622039219
4,14,-1.1447095820763036
5,15,-0.14312744157366675
1,18,-1.15255970701786
2,19,-2.5641645451538864
3,20,-1.8658882621061512
4,21,0.17182312716512702
5,22,-1.0770746889256526
1,25,-1.4508598765945628
2,26,0.6123839418915656
3,27,0.31676238457535105
4,28,-0.2630429583457967
5,29,-1.3665794952041272
1,2,-0.5745777770490661
2,3,0.6795149432331007
3,4,1.049545587804163
4,5,1.8193226678414862
5,6,1.1544675496112335
1,9,0.9523356899405278
2,10,-0.19802421687724267
3,11,-1.1233943262344888
4,12,0.552233885020893
5,13,1.0495083486464907
1,16,-1.3496749093521923
2,17,-2.176900005962274
3,18,-2.0961372864052503
4,19,-1.4249640237844787
5,20,0.5567975327935933
1,23,-0.7178025167145294
2,24,-2.6002474466474057
3,25,-1.6576000597119018
