day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
3,16,-1.8181771943063447,-3.9393916274562026,-5.454543142607718,-6.5151503591826465,-5.606061762029475,-5.454543142607718,-6.0606060606060606,-7.575757575757576,-5.151517463452889,-5.606061762029475,-7.121213277180989,-7.121213277180989,-7.575757575757576,-5.151517463452889,-2.7272773511482007
4,17,-2.160496080163269,-3.7037058840289703,-4.783953924110604,-3.8580303965424716,-3.7037058840289703,-4.320992160326538,-5.864201964192239,-3.395068632758405,-3.8580303965424716,-5.401240200408173,-5.401240200408173,-5.864201964192239,-3.395068632758405,-0.9259353013245711,-1.6975343163792025
5,18,-1.577287028284716,-2.68138915145852,-1.735019341236696,-1.577287028284716,-2.208204246347608,-3.7854912746323235,-1.261834436125784,-1.735019341236696,-3.3123063695214117,-3.3123063695214117,-3.7854912746323235,-1.261834436125784,1.261822402380756,0.47318490511091205,0.0
1,21,-1.121796067022762,-0.16026007431568062,0.0,-0.6410280706692213,-2.243592134045524,0.3205079220378601,-0.16026007431568062,-1.7628241376919835,-1.7628241376919835,-2.243592134045524,0.3205079220378601,2.8846079781212444,2.0833320597298437,1.602564063376303,1.602564063376303
2,22,0.9724448406838386,1.1345231025668212,0.4862224203419193,-1.1345231025668212,1.4586672610257578,0.9724448406838386,-0.6483006822249021,-0.6483006822249021,-1.1345231025668212,1.4586672610257578,4.0518576246183375,3.2414910458174817,2.755268625475562,2.755268625475562,0.9724448406838386
3,23,0.16051731949118672,-0.48153971225425896,-2.0866761685082222,0.48153971225425896,0.0,-1.6051364562539634,-1.6051364562539634,-2.0866761685082222,0.48153971225425896,3.0497555930167404,2.2471934879994095,1.7656537757451505,1.7656537757451505,0.0,-2.4077046843809455
4,24,-0.6410280706692213,-2.243592134045524,0.3205079220378601,-0.16026007431568062,-1.7628241376919835,-1.7628241376919835,-2.243592134045524,0.3205079220378601,2.8846079781212444,2.0833320597298437,1.602564063376303,1.602564063376303,-0.16026007431568062,-2.564106169380135,-0.32051403533461065
5,25,-1.6129032258064515,0.967739474388861,0.4838697371944305,-1.129033488612021,-1.129033488612021,-1.6129032258064515,0.967739474388861,3.5483821745841735,2.7419367144184728,2.258066977224042,2.258066977224042,0.4838697371944305,-1.9354851015152468,0.3225818757087954,0.0
1,28,2.6229483182313014,2.1311462902631915,0.4918020279681096,0.4918020279681096,0.0,2.6229483182313014,5.245896636462603,4.426230758917137,3.9344287309490267,3.9344287309490267,2.1311462902631915,-0.3278701031794313,1.9672143654745133,1.639344262295082,0.9836040559362192
2,29,-0.4792320197652511,-2.0766761481599203,-2.0766761481599203,-2.5559081679251716,0.0,2.5559081679251716,1.7571921974935856,1.2779601777283343,1.2779601777283343,-0.4792320197652511,-2.875398212357255,-0.6389739950984186,-0.9584640395305022,-1.5974441283946692,-1.5974441283946692
3,1,-1.6051364562539634,-1.6051364562539634,-2.0866761685082222,0.48153971225425896,3.0497555930167404,2.2471934879994095,1.7656537757451505,1.7656537757451505,0.0,-2.4077046843809455,-0.1605111963815361,-0.48153971225425896,-1.1235967439997048,-1.1235967439997048,0.0
4,2,0.0,-0.4893951725845607,2.1207165631979286,4.730828298980418,3.915173826670982,3.4257786540864212,3.4257786540864212,1.631321390613368,-0.815660695306684,1.4681917407509304,1.141926218028807,0.4893951725845607,0.4893951725845607,1.631321390613368,-0.16312964986243753
5,3,-0.4893951725845607,2.1207165631979286,4.730828298980418,3.915173826670982,3.4257786540864212,3.4257786540864212,1.631321390613368,-0.815660695306684,1.4681917407509304,1.141926218028807,0.4893951725845607,0.4893951725845607,1.631321390613368,-0.16312964986243753,-1.4681855177536822
