day_of_month,day_of_week,roc1,roc2,roc3,roc4,roc5,oneDaysLater,twoDaysLater,threeDaysLater,fourDaysLater,fiveDaysLater,sixDaysLater,sevenDaysLater,eightDaysLater,nineDaysLater,tenDaysLater,elevenDaysLater,twelveDaysLater,thirteenDaysLater,fourteenDaysLater,fifteenDaysLater
28.0,3.0,-0.2372268065485876,-0.5451920800041998,0.6494457042728755,0.34897777950632647,0.3128593273053671,0.15957021614345937,0.8279685712278652,1.530430777007032,1.0193014357080397,1.2245121652860798,0.9055231278911378,1.287018069686867,1.3713551175106966,2.0493418157536274,2.377919196307095,1.9883296742870107,2.359075578752393,6.009973491763714,5.202998345556621,5.301223351471114
29.0,4.0,0.15957021614345937,-0.07803513373308803,-0.38649182804120025,0.8100522423303774,0.5091048602468368,0.667333489592665,1.3686765607173312,0.8583615302155231,1.0632453262773445,0.7447644894421159,1.125651648774436,1.2098543341911472,1.8867608911780052,2.2148147954074267,1.8258459518117987,2.196001198749576,5.841082647414657,5.035393141693288,5.13346165946201,5.726498069162691
30.0,5.0,0.667333489592665,0.8279685712278652,0.5887776012785276,0.27826247214840694,1.4827914818193095,0.6966938000768377,0.1897616972665787,0.3932872988292774,0.0769177022628259,0.45527992377900156,0.5389244214505494,1.2113436994051392,1.5372229025761825,1.150832571063288,1.5185340230701054,5.139451874283401,4.339103362216512,4.436521774296394,5.0256268882825434,4.741569933947273
1.0,6.0,0.6966938000768377,1.3686765607173312,1.530430777007032,1.2895733783997139,0.9768949096166429,-0.5034247736243671,-0.3013073118864691,-0.6154880308627758,-0.23974359751784807,-0.1566778140099848,0.5110891727488959,0.8347137038760487,0.4509967049048278,0.8161541277859122,4.41201980576166,3.61720869343666,3.713953093280906,4.29898234474348,4.016890705370259,4.503058154895816
2.0,7.0,-0.5034247736243671,0.1897616972665787,0.8583615302155231,1.0193014357080397,0.7796565729144179,0.20314011942424984,-0.11263026589954596,0.2650153289262358,0.3485014020085215,1.0196471024907445,1.3449090830069974,0.9592505836082149,1.3262556006656105,4.940315350756904,4.141482717054049,4.238716616436146,4.82670595187961,4.543187007904501,5.031814328412191,4.63272771960429
3.0,1.0,0.20314011942424984,-0.3013073118864691,0.3932872988292774,1.0632453262773445,1.2245121652860798,-0.31513022939945184,0.06174977094354707,0.14506659413170778,0.8148516923654928,1.1394542748081176,0.7545776143170927,1.1208386083537978,4.727571636664068,3.930358462754758,4.027395241508609,4.614192556186259,4.331248385337714,4.818885120000256,4.420607572677626,4.219185463388009
4.0,2.0,-0.31513022939945184,-0.11263026589954596,-0.6154880308627758,0.0769177022628259,0.7447644894421159,0.3780714176687923,0.46165162736349646,1.1335540933797792,1.4591828304083927,1.0730894730345797,1.4405083149105455,5.058643179920905,4.258909804390702,4.3562533420581095,4.944905678192987,4.661067046011726,5.150245329320629,4.750708721368827,4.548649863537004,3.329385045303954
5.0,3.0,0.3780714176687923,0.06174977094354707,0.2650153289262358,-0.23974359751784807,0.45527992377900156,0.08326540699006912,0.7526371696936239,1.0770394344808067,0.6924002877818279,1.0584352560640453,4.662942509401737,3.8662213090087274,3.9631982047515892,4.549633397041268,4.2668638357491195,4.754199641667779,4.356167878047468,4.154870069693425,2.9401975809585688,2.9952129366302023
6.0,4.0,0.08326540699006912,0.46165162736349646,0.14506659413170778,0.3485014020085215,-0.1566778140099848,0.6688148712789743,0.9929472459252214,0.6086281041238042,0.9743585454655519,4.5758669881406675,3.779808628980292,3.876704843695613,4.462652144580463,4.180117836629716,4.667048198001222,4.269347581417911,4.068217245057019,2.854555316866154,2.909524901889098,3.2310486854692315
7.0,5.0,0.6688148712789743,0.7526371696936239,1.1335540933797792,0.8148516923654928,1.0196471024907445,0.32197893166886066,-0.05978690345379397,0.30351372922911984,3.8810947778192073,3.0903252031716235,3.186577667094258,3.7686321013637745,3.4879748707089666,3.9716702057480484,3.5766117985423667,3.3768177147259744,2.1712190099605277,2.225823392750999,2.545211064088198,6.509750358770871
8.0,6.0,0.32197893166886066,0.9929472459252214,1.0770394344808067,1.4591828304083927,1.1394542748081176,-0.3805405746458434,-0.018405939193362426,3.54769302205903,2.7594613872084146,2.855404933126895,3.435591289564266,3.155834815814911,3.637977752178373,3.244187267368695,3.045034413782667,1.8433050244664917,1.897734156917779,2.216096767721878,6.167912049777862,6.131888856519937
9.0,7.0,-0.3805405746458434,-0.05978690345379397,0.6086281041238042,0.6924002877818279,1.0730894730345797,0.3635179688199694,3.9432392218995505,3.1519965877822216,3.2483066324983065,3.830709267268786,3.549884139966244,4.0338688344673574,3.6385740927761034,3.438660486805118,2.232340560710113,2.2869776093000747,2.6065563468685626,6.573467334793685,6.537306535020508,6.00062445168738
10.0,1.0,0.3635179688199694,-0.018405939193362426,0.30351372922911984,0.9743585454655519,1.0584352560640453,3.566755456092817,2.778378713098271,2.874339921578434,3.4546330864228696,3.1748251113877712,3.6570568070239027,3.263193828033807,3.0640043117465314,1.862053692130175,1.9164928446187672,2.2349140638388545,6.187456848516377,6.151427023630792,5.616688809791119,6.234954294185196
11.0,2.0,3.566755456092817,3.9432392218995505,3.54769302205903,3.8810947778192073,4.5758669881406675,-0.7612256843643023,-0.6685693024417794,-0.10826096576664682,-0.3784325800099092,0.08719144529865022,-0.2931072106316058,-0.48543680076897566,-1.645993211291968,-1.5934288992703642,-1.285973849802215,2.530446551967739,2.495657565166989,1.9793353037571726,2.5763082239489137,5.807770949463237
12.0,3.0,-0.7612256843643023,2.778378713098271,3.1519965877822216,2.7594613872084146,3.0903252031716235,0.0933671163932586,0.6579733809698782,0.3857293754323218,0.8549250386391349,0.47170924566622885,0.2779043629843323,-0.8915542669981014,-0.8385867526529327,-0.5287733237906742,3.3169214946797436,3.281865653814457,2.7615828661939466,3.363134955393505,6.619385093304757,8.192647867244471
13.0,4.0,0.0933671163932586,-0.6685693024417794,2.874339921578434,3.2483066324983065,2.855404933126895,0.5640795997201983,0.292089543455053,0.7608475408368479,0.377989211645779,0.18436511020404095,-0.9840026484932285,-0.9310845422579018,-0.6215601074349699,3.220547446004075,3.185524305235394,2.6657268375215732,3.2667177987908103,6.51993050580738,8.091725739861452,8.30184541471942
14.0,5.0,0.5640795997201983,0.6579733809698782,-0.10826096576664682,3.4546330864228696,3.830709267268786,-0.2704644216381831,0.19566423906016353,-0.1850465780775038,-0.3775846117495952,-1.5393988135478684,-1.486777533219983,-1.1789892692046944,2.641567304009082,2.606740613496839,2.0898587708122593,2.687478680089398,5.922443609878923,7.4854223994331655,7.694363480278647,11.571449090555399
15.0,6.0,-0.2704644216381831,0.292089543455053,0.3857293754323218,-0.3784325800099092,3.1748251113877712,0.46739279190976396,0.08564949497189107,-0.10741069783408656,-1.2723757155297577,-1.2196117273865072,-0.910988748015019,2.9199290949862644,2.8850079552153107,2.3667243397477113,2.9659649817614935,6.209703069008148,7.776920624459553,7.986428349160938,11.87402853479537,9.898757365550745
16.0,7.0,0.46739279190976396,0.19566423906016353,0.7608475408368479,0.8549250386391349,0.08719144529865022,-0.3799673569001117,-0.5721293981763774,-1.731674784318299,-1.6791562639536506,-1.371969055452366,2.441126653058716,2.406367972853604,1.8904955081017023,2.486948372420519,5.7155959934105,7.275522564509504,7.484055620737329,11.353569975197104,9.387488130776347,9.248462922457321
17.0,1.0,-0.3799673569001117,0.08564949497189107,-0.1850465780775038,0.377989211645779,0.47170924566622885,-0.1928949792304406,-1.3568630641397528,-1.3041442294122016,-0.9957853578569015,2.8318541312526153,2.796962875665861,2.279122787618436,2.8778506222655866,6.1188128417390315,7.684689231970321,7.894017667923478,11.778290993071593,9.80471018582124,9.665154712257907,14.174128563677687
18.0,2.0,-0.1928949792304406,-0.5721293981763774,-0.10741069783408656,-0.3775846117495952,0.18436511020404095,-1.1662176602227807,-1.1133969369720857,-0.8044421070617986,3.0305949760326327,2.9956362868897166,2.4767953807842207,3.0766803634440794,6.323906318749577,7.892809043566046,8.102542043946727,11.994322418039143,10.016927314915316,9.87710212558206,14.394790370804156,16.12467144907402
19.0,3.0,-1.1662176602227807,-1.3568630641397528,-1.731674784318299,-1.2723757155297577,-1.5393988135478684,0.053443996577106107,0.3660444279236896,4.24633413484808,4.2109629405911075,3.685999821885612,4.292963320052196,7.578505852606472,9.165921296672746,9.378129101954999,13.315831658670879,11.315103712910583,11.173628616012483,15.744624623926958,17.49491793185963,9.22730299967862
20.0,4.0,0.053443996577106107,-1.1133969369720857,-1.3041442294122016,-1.6791562639536506,-1.2196117273865072,0.3124334544218965,4.190650487168053,4.15529818659339,3.6306154792960226,4.237254765183422,7.521042310434415,9.107609829410153,9.319704282939922,13.25530349814594,11.255644250205666,11.114244722866118,15.682799112728851,17.432157493628313,9.168958745103623,11.472963181652872
21.0,5.0,0.3124334544218965,0.3660444279236896,-0.8044421070617986,-0.9957853578569015,-1.371969055452366,3.8661379244760012,3.8308957322997683,3.3078472035889552,3.9125970486448343,7.186156897776617,8.767782888034956,8.979216751441466,12.902558135632095,10.909127033346213,10.768167909466724,15.322493063923782,17.066402887120628,8.828940726182054,11.125769102493052,11.154693934002774
22.0,6.0,3.8661379244760012,4.190650487168053,4.24633413484808,3.0305949760326327,2.8318541312526153,-0.03393039625855631,-0.5375098487757339,0.044729808094544535,3.196440186997898,4.719194399163162,4.922758205069037,8.700063747173047,6.780832761868326,6.645120462656831,11.029923099459054,12.708920564893738,4.778075801099535,6.989410912048866,7.017259094418709,8.250184207508424
